match_id,format,innings_no,team,batter,batting_pos,runs,balls,dots,1s,2s,3s,4s,6s,boundary_pct,strike_rate,out,dismissal_kind,dismissal_over,dismissal_ball_in_over,bowler_out,dismissal_fielders
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,SC Cook,1,0,4,4,0,0,0,0,0,0.0,0.0,1,caught,0,4,MA Starc,MR Marsh
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,HM Amla,2,0,5,5,0,0,0,0,0,0.0,0.0,1,caught,3,1,JR Hazlewood,SPD Smith
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,D Elgar,3,12,22,16,4,0,0,2,0,0.0909,54.55,1,caught,7,6,JR Hazlewood,PM Nevill
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,JP Duminy,4,11,23,18,2,0,3,0,0,0.0,47.83,1,caught,12,2,PM Siddle,PM Nevill
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,F du Plessis,5,37,74,57,9,1,2,5,0,0.0676,50.0,1,caught,27,6,MA Starc,AC Voges
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,T Bavuma,6,51,86,62,13,2,2,7,0,0.0814,59.3,1,caught,43,4,NM Lyon,SE Marsh
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,Q de Kock,7,84,101,63,17,7,1,11,1,0.1188,83.17,1,caught,60,6,JR Hazlewood,SE Marsh
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,VD Philander,8,10,32,25,6,0,0,1,0,0.0312,31.25,1,bowled,52,3,MA Starc,
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,KA Maharaj,9,16,19,14,1,1,1,1,1,0.1053,84.21,1,caught,59,6,NM Lyon,DA Warner
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,K Rabada,10,11,12,7,3,0,0,2,0,0.1667,91.67,0,,,,,
test_2016-11-03_australia_south_africa_1000851,Test,1,South Africa,DW Steyn,11,4,4,3,0,0,0,1,0,0.25,100.0,1,bowled,63,4,MA Starc,
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,DA Warner,1,97,97,56,21,3,0,16,1,0.1753,100.0,1,caught,35,2,DW Steyn,HM Amla
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,SE Marsh,2,63,147,117,15,4,1,8,0,0.0544,42.86,1,lbw,46,5,VD Philander,
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,UT Khawaja,3,4,17,15,1,0,1,0,0,0.0,23.53,1,bowled,40,4,K Rabada,
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,SPD Smith,4,0,4,4,0,0,0,0,0,0.0,0.0,1,lbw,41,3,KA Maharaj,
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,AC Voges,5,27,60,49,4,2,1,4,0,0.0667,45.0,1,caught and bowled,60,6,K Rabada,
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,MR Marsh,6,0,8,8,0,0,0,0,0,0.0,0.0,1,lbw,50,1,VD Philander,
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,PM Nevill,7,23,53,41,9,0,0,2,1,0.0566,43.4,1,caught,67,5,KA Maharaj,HM Amla
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,MA Starc,8,0,5,5,0,0,0,0,0,0.0,0.0,1,caught,61,6,KA Maharaj,F du Plessis
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,PM Siddle,9,18,25,19,1,1,1,3,0,0.12,72.0,0,,,,,
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,JR Hazlewood,10,4,5,3,1,0,1,0,0,0.0,80.0,1,caught,70,1,VD Philander,JP Duminy
test_2016-11-03_australia_south_africa_1000851,Test,2,Australia,NM Lyon,11,0,1,1,0,0,0,0,0,0.0,0.0,1,caught,70,3,VD Philander,D Elgar
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,SC Cook,1,12,55,50,1,0,1,2,0,0.0364,21.82,1,caught,16,4,PM Siddle,SE Marsh
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,D Elgar,2,127,315,249,35,6,2,17,1,0.0571,40.32,1,caught,106,3,JR Hazlewood,MA Starc
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,HM Amla,3,1,7,6,1,0,0,0,0,0.0,14.29,1,bowled,20,1,JR Hazlewood,
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,JP Duminy,4,141,225,163,29,7,4,20,1,0.0933,62.67,1,caught,94,3,PM Siddle,PM Nevill
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,F du Plessis,5,32,64,52,4,2,0,6,0,0.0938,50.0,1,caught,115,4,MA Starc,PM Nevill
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,T Bavuma,6,8,18,16,0,0,0,2,0,0.1111,44.44,1,caught,112,3,MR Marsh,UT Khawaja
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,Q de Kock,7,64,100,67,18,7,0,5,2,0.07,64.0,1,caught,146,1,MR Marsh,AC Voges
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,VD Philander,8,73,143,111,17,2,0,10,2,0.0839,51.05,1,bowled,160,1,SPD Smith,
test_2016-11-03_australia_south_africa_1000851,Test,3,South Africa,KA Maharaj,9,41,34,18,4,4,1,2,3,0.1471,120.59,0,,,,,
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,SE Marsh,1,15,45,37,4,2,1,1,0,0.0222,33.33,1,caught,12,6,K Rabada,F du Plessis
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,DA Warner,2,35,33,18,5,3,0,6,0,0.1818,106.06,1,run out,12,2,K Rabada,T Bavuma
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,UT Khawaja,3,97,181,137,20,6,1,11,3,0.0773,53.59,1,lbw,76,1,JP Duminy,
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,SPD Smith,4,34,91,75,5,3,1,5,0,0.0549,37.36,1,caught,44,3,K Rabada,Q de Kock
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,AC Voges,5,1,12,11,1,0,0,0,0,0.0,8.33,1,caught,46,5,K Rabada,Q de Kock
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,MR Marsh,6,26,52,40,5,1,1,4,0,0.0769,50.0,1,lbw,62,4,K Rabada,
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,PM Nevill,7,60,153,120,18,6,2,6,0,0.0392,39.22,0,,,,,
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,MA Starc,8,13,24,17,5,0,0,2,0,0.0833,54.17,1,lbw,82,5,K Rabada,
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,PM Siddle,9,13,32,28,1,0,0,3,0,0.0938,40.62,1,lbw,92,5,VD Philander,
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,JR Hazlewood,10,29,70,57,5,2,0,5,0,0.0714,41.43,1,caught,113,3,T Bavuma,D Elgar
test_2016-11-03_australia_south_africa_1000851,Test,4,Australia,NM Lyon,11,8,22,19,0,2,0,1,0,0.0455,36.36,1,lbw,119,1,KA Maharaj,
test_2016-11-12_australia_south_africa_1000853,Test,1,Australia,DA Warner,1,1,4,3,1,0,0,0,0,0.0,25.0,1,caught,0,6,VD Philander,Q de Kock
test_2016-11-12_australia_south_africa_1000853,Test,1,Australia,JA Burns,2,1,8,7,1,0,0,0,0,0.0,12.5,1,lbw,1,6,KJ Abbott,
test_2016-11-12_australia_south_africa_1000853,Test,1,Australia,UT Khawaja,3,4,25,23,1,0,1,0,0,0.0,16.0,1,caught,8,3,VD Philander,HM Amla
test_2016-11-12_australia_south_africa_1000853,Test,1,Australia,SPD Smith,4,48,80,56,11,4,3,5,0,0.0625,60.0,0,,,,,
