match_id,format,innings_no,team,bowler,legal_balls,overs_text,overs_decimal,maidens,runs_conceded,wickets,wides,no_balls,dot_balls,boundary_balls_conceded,economy,bowling_strike_rate,bowling_average
test_2016-11-03_australia_south_africa_1000851,Test,1,Australia,MA Starc,112,18.4,18.667,2,71,4,2,0,82,8,3.8,28.0,17.75
test_2016-11-03_australia_south_africa_1000851,Test,1,Australia,JR Hazlewood,102,17.0,17.0,2,70,3,0,0,70,10,4.12,34.0,23.33
test_2016-11-03_australia_south_africa_1000851,Test,1,Australia,PM Siddle,72,12.0,12.0,3,36,1,0,0,53,5,3.0,72.0,36.0
test_2016-11-03_australia_south_africa_1000851,Test,1,Australia,MR Marsh,36,6.0,6.0,1,23,0,0,0,26,3,3.83,,
test_2016-11-03_australia_south_africa_1000851,Test,1,Australia,NM Lyon,60,10.0,10.0,1,38,2,0,0,43,6,3.8,30.0,19.0
test_2016-11-03_australia_south_africa_1000851,Test,2,South Africa,DW Steyn,76,12.4,12.667,4,51,1,0,0,54,8,4.03,76.0,51.0
test_2016-11-03_australia_south_africa_1000851,Test,2,South Africa,VD Philander,116,19.2,19.333,2,56,4,0,3,93,9,2.9,29.0,14.0
test_2016-11-03_australia_south_africa_1000851,Test,2,South Africa,K Rabada,120,20.0,20.0,1,78,2,0,2,85,10,3.9,60.0,39.0
test_2016-11-03_australia_south_africa_1000851,Test,2,South Africa,KA Maharaj,110,18.2,18.333,6,56,3,0,0,86,8,3.05,36.67,18.67
test_2016-11-03_australia_south_africa_1000851,Test,3,Australia,MA Starc,186,31.0,31.0,8,114,1,5,0,137,16,3.68,186.0,114.0
test_2016-11-03_australia_south_africa_1000851,Test,3,Australia,JR Hazlewood,222,37.0,37.0,11,107,2,0,1,176,18,2.89,111.0,53.5
test_2016-11-03_australia_south_africa_1000851,Test,3,Australia,PM Siddle,156,26.0,26.0,9,62,2,0,0,129,10,2.38,78.0,31.0
test_2016-11-03_australia_south_africa_1000851,Test,3,Australia,MR Marsh,156,26.0,26.0,4,77,2,12,0,124,10,2.96,78.0,38.5
test_2016-11-03_australia_south_africa_1000851,Test,3,Australia,NM Lyon,204,34.0,34.0,3,146,0,0,0,141,19,4.29,,
test_2016-11-03_australia_south_africa_1000851,Test,3,Australia,AC Voges,30,5.0,5.0,1,8,0,0,0,21,0,1.6,,
test_2016-11-03_australia_south_africa_1000851,Test,3,Australia,SPD Smith,7,1.1,1.167,1,3,1,0,0,4,0,2.57,7.0,3.0
test_2016-11-03_australia_south_africa_1000851,Test,4,South Africa,K Rabada,186,31.0,31.0,6,92,5,3,0,145,14,2.97,37.2,18.4
test_2016-11-03_australia_south_africa_1000851,Test,4,South Africa,VD Philander,132,22.0,22.0,7,55,1,0,0,108,7,2.5,132.0,55.0
test_2016-11-03_australia_south_africa_1000851,Test,4,South Africa,JP Duminy,102,17.0,17.0,1,51,1,0,0,77,7,3.0,102.0,51.0
test_2016-11-03_australia_south_africa_1000851,Test,4,South Africa,KA Maharaj,241,40.1,40.167,11,94,1,1,0,195,13,2.34,241.0,94.0
test_2016-11-03_australia_south_africa_1000851,Test,4,South Africa,SC Cook,12,2.0,2.0,0,16,0,0,0,6,3,8.0,,
test_2016-11-03_australia_south_africa_1000851,Test,4,South Africa,T Bavuma,42,7.0,7.0,1,29,1,0,2,28,3,4.14,42.0,29.0
test_2016-11-12_australia_south_africa_1000853,Test,1,South Africa,VD Philander,61,10.1,10.167,6,21,5,0,0,51,3,2.07,12.2,4.2
