match_id,format,date,venue_name,city,venue_country,neutral_venue,team1,team2,toss_winner,toss_decision,player_of_match,winner,result_type,win_margin,overs_limit
test_2016-11-03_australia_south_africa_1000851,Test,2016-11-03,Western Australia Cricket Association Ground,Perth,Australia,0,Australia,South Africa,South Africa,bat,K Rabada,South Africa,runs,177,
test_2016-11-12_australia_south_africa_1000853,Test,2016-11-12,Bellerive Oval,Hobart,Australia,0,Australia,South Africa,South Africa,field,KJ Abbott,South Africa,runs,80,
test_2016-11-24_australia_south_africa_1000855,Test,2016-11-24,Adelaide Oval,,Australia,0,Australia,South Africa,South Africa,bat,UT Khawaja,Australia,wickets,7,
test_2016-12-15_australia_pakistan_1000881,Test,2016-12-15,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,0,Australia,Pakistan,Australia,bat,Asad Shafiq,Australia,runs,39,
test_2016-12-26_australia_pakistan_1000883,Test,2016-12-26,Melbourne Cricket Ground,,Australia,0,Australia,Pakistan,Pakistan,bat,SPD Smith,Australia,runs,18,
test_2017-01-03_australia_pakistan_1000885,Test,2017-01-03,Sydney Cricket Ground,,Australia,0,Australia,Pakistan,Australia,bat,DA Warner,Australia,runs,220,
test_2017-01-12_new_zealand_bangladesh_1019985,Test,2017-01-12,Basin Reserve,Wellington,New Zealand,0,New Zealand,Bangladesh,New Zealand,field,TWM Latham,New Zealand,wickets,7,
test_2017-01-20_new_zealand_bangladesh_1019987,Test,2017-01-20,Hagley Oval,Christchurch,New Zealand,0,New Zealand,Bangladesh,New Zealand,field,TG Southee,New Zealand,wickets,9,
test_2016-11-17_new_zealand_pakistan_1019993,Test,2016-11-17,Hagley Oval,Christchurch,New Zealand,0,New Zealand,Pakistan,New Zealand,field,C de Grandhomme,New Zealand,wickets,8,
test_2016-11-25_new_zealand_pakistan_1019995,Test,2016-11-25,Seddon Park,Hamilton,New Zealand,0,New Zealand,Pakistan,Pakistan,field,TG Southee,New Zealand,runs,138,
test_2017-03-08_new_zealand_south_africa_1020041,Test,2017-03-08,University Oval,Dunedin,New Zealand,0,New Zealand,South Africa,South Africa,bat,D Elgar,,draw,,
test_2017-03-16_new_zealand_south_africa_1020043,Test,2017-03-16,Basin Reserve,Wellington,New Zealand,0,New Zealand,South Africa,South Africa,field,KA Maharaj,South Africa,wickets,8,
test_2017-03-25_new_zealand_south_africa_1020045,Test,2017-03-25,Seddon Park,Hamilton,New Zealand,0,New Zealand,South Africa,South Africa,bat,KS Williamson,,draw,,
test_2016-07-21_west_indies_india_1022593,Test,2016-07-21,"Sir Vivian Richards Stadium, North Sound",Antigua,Antigua and Barbuda,0,West Indies,India,India,bat,R Ashwin,India,runs,92,
test_2016-07-30_west_indies_india_1022595,Test,2016-07-30,"Sabina Park, Kingston",Jamaica,Jamaica,0,West Indies,India,West Indies,bat,RL Chase,,draw,,
test_2016-08-09_west_indies_india_1022597,Test,2016-08-09,"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia,Saint Lucia,0,West Indies,India,West Indies,field,R Ashwin,India,runs,237,
