venue_name,year,format,batting_sr,batting_avg,boundary_%,bowling_econ,bowling_avg,bowling_sr,runs,balls,wickets,fours,sixes,matches,innings_count
3Ws Oval,2025,ODI,90.55,28.35,45.36,5.43,28.35,31.31,1389,1534,49,117,27,3,6
3Ws Oval,2025,T20,118.81,26.25,44.05,7.13,26.25,22.09,840,707,32,73,13,3,6
7he Sevens Stadium,2024,T20,83.08,13.5,32.1,4.98,13.5,16.25,162,195,12,13,0,1,2
ACA-VDCA Stadium,2005,ODI,115.75,34.42,52.6,6.95,34.42,29.74,654,565,19,62,16,1,2
ACA-VDCA Stadium,2007,ODI,98.86,52.2,53.26,5.93,52.2,52.8,522,528,10,53,11,1,2
ACA-VDCA Stadium,2010,ODI,97.98,72.62,44.41,5.88,72.62,74.12,581,593,8,51,9,1,2
ACA-VDCA Stadium,2011,ODI,91.51,38.5,50.09,5.49,38.5,42.07,539,589,14,51,11,1,2
ACA-VDCA Stadium,2013,ODI,96.65,38.47,52.69,5.8,38.47,39.8,577,597,15,58,12,1,2
ACA-VDCA Stadium,2016,ODI,79.27,21.75,40.8,4.76,21.75,27.44,348,439,16,25,7,1,2
ACA-VDCA Stadium,2016,T20,86.91,15.09,50.6,5.21,15.09,17.36,166,191,11,15,4,1,2
ACA-VDCA Stadium,2016,Test,45.46,26.8,46.27,2.73,26.8,58.95,1072,2358,40,115,6,1,4
ACA-VDCA Stadium,2017,ODI,93.94,36.17,53.92,5.64,36.17,38.5,434,462,12,48,7,1,2
ACA-VDCA Stadium,2018,ODI,107.0,49.38,50.16,6.42,49.38,46.15,642,600,13,55,17,1,2
ACA-VDCA Stadium,2019,ODI,118.89,44.47,61.47,7.13,44.47,37.4,667,561,15,59,29,1,2
ACA-VDCA Stadium,2019,T20,105.42,18.07,44.27,6.32,18.07,17.14,253,240,14,22,4,1,2
ACA-VDCA Stadium,2019,Test,60.57,46.68,62.61,3.63,46.68,77.06,1447,2389,31,171,37,1,4
ACA-VDCA Stadium,2022,T20,131.91,20.67,54.19,7.91,20.67,15.67,310,235,15,27,10,1,2
ACA-VDCA Stadium,2023,ODI,107.21,23.8,62.18,6.43,23.8,22.2,238,222,10,25,8,1,2
ACA-VDCA Stadium,2023,T20,174.48,37.91,70.02,10.47,37.91,21.73,417,239,11,43,20,1,2
ACA-VDCA Stadium,2024,Test,63.15,29.9,58.03,3.79,29.9,47.35,1196,1894,40,145,19,1,4
ACA-VDCA Stadium,2025,ODI,90.12,34.87,54.49,5.41,34.87,38.69,2371,2631,68,272,34,5,10
AMI Stadium,2005,Test,54.51,36.48,62.78,3.27,36.48,66.94,1131,2075,31,161,11,1,4
AMI Stadium,2006,Test,48.18,18.54,51.46,2.89,18.54,38.49,649,1347,35,73,7,1,4
AMI Stadium,2008,ODI,87.16,35.0,50.11,5.23,35.0,40.15,455,522,13,39,12,1,2
AMI Stadium,2009,ODI,127.15,48.4,59.78,7.63,48.4,38.07,726,571,15,62,31,1,2
AMI Stadium,2009,T20,140.77,29.82,63.41,8.45,29.82,21.18,328,233,11,16,24,1,2
AMI Stadium,2010,ODI,85.24,30.31,48.25,5.11,30.31,35.56,485,569,16,48,7,1,2
AMI Stadium,2010,T20,152.16,26.15,64.59,9.13,26.15,17.19,706,464,27,72,28,2,6
AMI Stadium,2011,ODI,90.5,33.94,42.73,5.43,33.94,37.5,543,600,16,37,14,1,2
Accor Stadium,2012,T20,129.58,31.1,46.95,7.78,31.1,24.0,311,240,10,17,13,1,2
Accor Stadium,2013,T20,118.45,34.5,38.41,7.11,34.5,29.12,276,233,8,13,9,1,2
Accor Stadium,2014,T20,115.27,19.51,48.0,6.92,19.51,16.93,800,694,41,60,24,3,6
Achimota Senior Secondary School Field,2024,T20,97.15,15.56,42.05,5.83,15.56,16.02,5213,5366,335,368,120,25,51
Adelaide Oval,2003,ODI,72.01,25.58,29.86,4.32,25.58,35.52,844,1172,33,54,6,2,4
Adelaide Oval,2004,Test,53.01,40.5,45.93,3.18,40.5,76.4,1215,2292,30,129,7,1,4
Adelaide Oval,2005,ODI,81.72,25.83,30.54,4.9,25.83,31.61,465,569,18,28,5,1,2
Adelaide Oval,2006,ODI,82.87,33.64,29.46,4.97,33.64,40.59,1480,1786,44,82,18,3,6
Adelaide Oval,2006,Test,51.63,45.37,34.24,3.1,45.37,87.87,1361,2636,30,112,3,1,4
Adelaide Oval,2007,ODI,73.82,25.85,41.51,4.43,25.85,35.02,1060,1436,41,89,14,3,6
Adelaide Oval,2008,ODI,72.88,25.24,31.21,4.37,25.24,34.64,833,1143,33,59,4,2,4
Adelaide Oval,2008,Test,52.29,40.79,44.13,3.14,40.79,78.02,2366,4525,58,237,16,2,6
Adelaide Oval,2009,ODI,84.55,39.0,40.38,5.07,39.0,46.12,936,1107,24,78,11,2,4
Adelaide Oval,2009,Test,54.85,40.54,44.54,3.29,40.54,73.91,1419,2587,35,143,10,1,4
Adelaide Oval,2010,ODI,88.81,31.18,44.22,5.33,31.18,35.11,873,983,28,83,9,2,4
Adelaide Oval,2010,Test,57.81,46.76,52.18,3.47,46.76,80.88,1169,2022,25,145,5,1,3
Adelaide Oval,2011,ODI,96.17,38.47,35.01,5.77,38.47,40.0,577,600,15,46,3,1,2
Adelaide Oval,2011,T20,131.25,24.23,54.6,7.88,24.23,18.46,315,240,13,31,8,1,2
Adelaide Oval,2012,ODI,85.08,33.37,32.87,5.1,33.37,39.22,2002,2353,60,136,19,4,8
Adelaide Oval,2012,Test,54.98,39.66,51.61,3.3,39.66,72.13,2697,4905,68,318,20,2,8
Adelaide Oval,2013,ODI,65.52,28.5,41.52,3.93,28.5,43.5,342,522,12,31,3,1,2
Adelaide Oval,2013,Test,53.86,37.06,55.48,3.23,37.06,68.81,1186,2202,32,133,21,1,4
Adelaide Oval,2014,ODI,71.74,22.58,31.24,4.3,22.58,31.47,429,598,19,29,3,1,2
Adelaide Oval,2014,T20,123.5,32.11,41.52,7.41,32.11,26.0,289,234,9,18,8,1,2
Adelaide Oval,2014,Test,66.44,48.94,50.57,3.99,48.94,73.66,1566,2357,32,180,12,1,4
Adelaide Oval,2015,ODI,87.3,32.23,41.3,5.24,32.23,36.92,1966,2252,61,167,24,4,8
Adelaide Oval,2015,Test,54.44,22.19,49.94,3.27,22.19,40.76,821,1508,37,92,7,1,4
Adelaide Oval,2016,T20,143.04,26.08,51.33,8.58,26.08,18.23,339,237,13,27,11,1,2
Adelaide Oval,2016,Test,52.53,31.84,44.95,3.15,31.84,60.62,1019,1940,32,110,3,1,4
Adelaide Oval,2017,ODI,114.45,40.06,46.99,6.87,40.06,35.0,681,595,17,59,14,1,2
Adelaide Oval,2017,T20,115.32,15.06,46.88,6.92,15.06,13.06,512,444,34,39,14,2,4
Adelaide Oval,2017,Test,47.17,27.37,44.23,2.83,27.37,58.03,1040,2205,38,109,4,1,4
Adelaide Oval,2018,ODI,78.37,23.56,41.98,4.7,23.56,30.06,848,1082,36,71,12,2,4
Adelaide Oval,2018,Test,43.67,27.08,36.93,2.62,27.08,62.0,1083,2480,40,85,10,1,4
Adelaide Oval,2019,ODI,100.17,45.92,39.87,6.01,45.92,45.85,597,596,13,43,11,1,2
Adelaide Oval,2019,T20,138.33,30.18,59.64,8.3,30.18,21.82,332,240,11,33,11,1,2
Adelaide Oval,2019,Test,62.02,49.13,46.55,3.72,49.13,79.22,1130,1822,23,124,5,1,3
Adelaide Oval,2020,Test,45.26,17.62,44.68,2.72,17.62,38.94,564,1246,32,60,2,1,4
Adelaide Oval,2021,Test,46.09,29.76,45.8,2.77,29.76,64.58,1131,2454,38,119,7,1,4
Adelaide Oval,2022,ODI,99.48,44.46,47.4,5.97,44.46,44.69,578,581,13,58,7,1,2
Adelaide Oval,2022,T20,134.06,27.71,52.94,8.04,27.71,20.67,2161,1612,78,190,64,8,15
Adelaide Oval,2022,Test,59.94,30.33,45.35,3.6,30.33,50.61,1001,1670,33,103,7,1,4
Adelaide Oval,2024,ODI,80.8,23.61,53.04,4.85,23.61,29.22,543,672,23,51,14,2,4
Adelaide Oval,2024,T20,186.67,34.46,70.98,11.2,34.46,18.46,448,240,13,39,27,1,2
Adelaide Oval,2024,Test,61.97,21.77,53.92,3.72,21.77,35.13,1328,2143,61,158,14,2,8
Adelaide Oval,2025,ODI,91.52,31.12,43.1,5.49,31.12,34.0,529,578,17,42,10,1,2
Adelaide Oval,2025,T20,112.0,16.8,41.27,6.72,16.8,15.0,252,225,15,23,2,1,2
Affies Park,2019,ODI,71.52,21.93,52.28,4.29,21.93,30.67,329,460,15,37,4,1,2
Al Amerat Cricket Ground Oman Cricket,2019,T20,129.22,21.65,54.0,7.75,21.65,16.76,4330,3351,200,376,139,15,30
Al Amerat Cricket Ground Oman Cricket,2020,ODI,79.33,25.61,43.53,4.76,25.61,32.28,1562,1969,61,131,26,4,8
Al Amerat Cricket Ground Oman Cricket,2020,T20,111.9,19.01,43.49,6.71,19.01,16.99,2718,2429,143,204,61,11,22
Al Amerat Cricket Ground Oman Cricket,2021,ODI,73.88,23.72,42.16,4.43,23.72,32.11,4934,6678,208,322,132,14,27
Al Amerat Cricket Ground Oman Cricket,2021,T20,119.74,17.93,49.21,7.18,17.93,14.98,1650,1378,92,107,64,6,12
Al Amerat Cricket Ground Oman Cricket,2022,ODI,82.04,28.12,49.65,4.92,28.12,34.27,1434,1748,51,118,40,3,6
Al Amerat Cricket Ground Oman Cricket,2022,T20,122.75,22.31,52.0,7.37,22.31,18.18,16936,13797,759,1381,547,63,126
Al Amerat Cricket Ground Oman Cricket,2024,ODI,62.89,18.95,41.68,3.77,18.95,30.13,1857,2953,98,129,43,6,12
Al Amerat Cricket Ground Oman Cricket,2024,T20,133.55,22.15,54.73,8.01,22.15,16.59,10056,7530,454,749,418,35,70
Al Amerat Cricket Ground Oman Cricket,2025,ODI,69.57,17.95,46.83,4.17,17.95,25.81,1939,2787,108,164,42,6,12
Al Amerat Cricket Ground Oman Cricket,2025,T20,116.85,20.52,51.31,7.01,20.52,17.56,7469,6392,364,538,280,28,56
Albert Park 1,2025,T20,102.12,18.87,45.65,6.13,18.87,18.48,4679,4582,248,510,16,21,42
Albertslund Cricket Club,2025,T20,91.64,17.08,24.95,5.5,17.08,18.64,1042,1137,61,65,0,5,10
Allan Border Field,2017,ODI,77.14,27.0,41.39,4.63,27.0,35.0,459,595,17,37,7,1,2
Allan Border Field,2018,T20,126.18,24.5,53.06,7.57,24.5,19.42,294,233,12,33,4,1,2
Allan Border Field,2019,ODI,77.64,28.41,41.6,4.66,28.41,36.59,1250,1610,44,121,6,3,6
Allan Border Field,2020,ODI,84.05,29.91,51.94,5.04,29.91,35.58,1286,1530,43,134,22,3,6
Allan Border Field,2020,T20,110.25,20.65,47.91,6.61,20.65,18.73,764,693,37,78,9,3,6
Allan Border Field,2023,ODI,71.28,23.19,43.94,4.28,23.19,32.53,742,1041,32,77,3,3,6
Allan Border Field,2023,T20,139.33,17.53,69.07,8.36,17.53,12.58,333,239,19,44,9,1,2
Allan Border Field,2024,ODI,94.16,25.69,51.09,5.65,25.69,27.28,822,873,32,90,10,2,4
Allan Border Field,2024,T20,125.11,26.73,51.7,7.51,26.73,21.36,294,235,11,35,2,1,2
Amini Park,2019,T20,123.57,24.22,40.13,7.41,24.22,19.6,1211,980,50,66,37,6,12
Amini Park,2022,ODI,68.02,22.2,36.2,4.08,22.2,32.64,2287,3362,103,177,20,6,12
Amini Park,2023,T20,105.66,16.71,40.69,6.34,16.71,15.81,2556,2419,153,161,66,11,22
Amini Park,2025,ODI,55.69,15.63,37.25,3.34,15.63,28.06,1047,1880,67,93,3,4,8
Amini Park,2025,T20,81.91,9.9,33.12,4.91,9.9,12.08,960,1172,97,78,1,6,12
Antigua Recreation Ground,2003,Test,59.15,35.54,56.12,3.55,35.54,60.08,1315,2223,37,168,11,1,4
Antigua Recreation Ground,2004,Test,55.48,72.9,47.33,3.33,72.9,131.4,1458,2628,20,159,9,1,3
Antigua Recreation Ground,2005,Test,56.78,86.0,48.15,3.41,86.0,151.47,1462,2575,17,161,10,1,3
Antigua Recreation Ground,2006,ODI,62.48,20.94,37.92,3.75,20.94,33.52,691,1106,33,55,7,2,4
Antigua Recreation Ground,2006,Test,54.56,40.89,53.81,3.27,40.89,74.94,1431,2623,35,173,13,1,4
Antigua Recreation Ground,2009,Test,55.55,40.06,50.35,3.33,40.06,72.11,1442,2596,36,165,11,1,4
Arbab Niaz Stadium,2004,ODI,85.34,38.5,41.56,5.12,38.5,45.12,1001,1173,26,86,12,2,4
Arbab Niaz Stadium,2006,ODI,110.17,37.59,56.96,6.61,37.59,34.12,639,580,17,79,8,1,2
"Arnos Vale Ground, Kingstown",2003,ODI,67.37,25.07,24.5,4.04,25.07,37.21,351,521,14,11,7,1,2
"Arnos Vale Ground, Kingstown",2004,ODI,58.41,16.06,20.62,3.5,16.06,27.5,514,880,32,19,5,2,4
"Arnos Vale Ground, Kingstown",2005,ODI,60.3,16.25,19.69,3.62,16.25,26.95,325,539,20,16,0,1,2
"Arnos Vale Ground, Kingstown",2008,ODI,85.71,25.67,34.2,5.14,25.67,29.94,462,539,18,32,5,1,2
"Arnos Vale Ground, Kingstown",2009,Test,47.75,26.78,41.08,2.86,26.78,56.08,1071,2243,40,101,6,1,4
"Arnos Vale Ground, Kingstown",2010,ODI,65.93,18.78,36.53,3.96,18.78,28.49,958,1453,51,62,17,3,6
"Arnos Vale Ground, Kingstown",2012,ODI,70.53,21.17,44.32,4.23,21.17,30.02,1101,1561,52,86,24,3,6
"Arnos Vale Ground, Kingstown",2013,T20,118.54,18.35,56.24,7.11,18.35,15.48,569,480,31,50,20,2,4
"Arnos Vale Ground, Kingstown",2014,Test,47.58,36.78,46.93,2.85,36.78,77.3,993,2087,27,103,9,1,4
"Arnos Vale Ground, Kingstown",2024,T20,108.98,15.76,55.72,6.54,15.76,14.46,1529,1403,97,126,58,6,12
Arundel Castle Cricket Club Ground,2012,T20,116.25,19.93,41.58,6.98,19.93,17.14,279,240,14,20,6,1,2
Asgiriya Stadium,2006,Test,55.38,22.74,60.14,3.32,22.74,41.06,705,1273,31,103,2,1,4
Asgiriya Stadium,2007,Test,55.76,31.92,48.51,3.35,31.92,57.24,1979,3549,62,234,4,2,7
Asian Institute of Technology Ground,2016,T20,93.75,20.45,34.67,5.62,20.45,21.82,225,240,11,15,3,1,2
Asian Institute of Technology Ground,2019,T20,72.95,11.05,26.84,4.38,11.05,15.15,1669,2288,151,109,2,11,22
Asian Institute of Technology Ground,2025,T20,96.83,8.13,31.15,5.81,8.13,8.4,122,126,15,5,3,2,4
BCA Stadium,2024,ODI,93.61,27.49,52.71,5.62,27.49,29.37,1347,1439,49,152,17,3,6
Ballpark Ground,2025,T20,132.28,18.0,61.51,7.94,18.0,13.61,504,381,28,43,23,2,4
Bangabandhu National Stadium,2003,ODI,62.13,24.43,47.08,3.73,24.43,39.32,684,1101,28,67,9,3,5
Bangabandhu National Stadium,2003,Test,43.6,27.79,48.85,2.62,27.79,63.73,917,2103,33,100,8,1,4
Bangabandhu National Stadium,2004,ODI,100.83,43.21,48.93,6.05,43.21,42.86,605,600,14,56,12,1,2
Bangabandhu National Stadium,2004,Test,61.29,30.4,62.28,3.68,30.4,49.6,912,1488,30,139,2,1,3
Bangabandhu National Stadium,2005,ODI,81.3,33.33,53.5,4.88,33.33,41.0,400,492,12,43,7,1,2
Bankstown Oval,2003,Test,29.0,21.61,29.17,1.74,21.61,74.52,713,2459,33,52,0,1,4
Bankstown Oval,2011,Test,31.9,22.28,19.07,1.91,22.28,69.84,713,2235,32,34,0,1,4
Barabati Stadium,2003,ODI,84.62,33.0,41.62,5.08,33.0,39.0,495,585,15,47,3,1,2
Barabati Stadium,2008,ODI,96.62,67.88,47.88,5.8,67.88,70.25,543,562,8,62,2,1,2
Barabati Stadium,2009,ODI,92.51,37.08,51.45,5.55,37.08,40.08,482,521,13,56,4,1,2
Barabati Stadium,2011,ODI,71.5,23.56,36.79,4.29,23.56,32.94,424,593,18,33,4,1,2
Barabati Stadium,2014,ODI,103.92,37.13,54.22,6.24,37.13,35.73,557,536,15,59,11,1,2
Barabati Stadium,2015,T20,90.82,13.43,38.3,5.45,13.43,14.79,188,207,14,15,2,1,2
Barabati Stadium,2017,ODI,124.5,53.36,58.63,7.47,53.36,42.86,747,600,14,81,19,1,2
Barabati Stadium,2017,T20,123.61,20.54,46.44,7.42,20.54,16.62,267,216,13,22,6,1,2
Barabati Stadium,2019,ODI,106.59,57.36,52.93,6.4,57.36,53.82,631,592,11,61,15,1,2
Barabati Stadium,2022,T20,129.13,24.75,60.61,7.75,24.75,19.17,297,230,12,24,14,1,2
Barabati Stadium,2025,ODI,108.13,38.25,53.92,6.49,38.25,35.38,612,566,16,63,13,1,2
Barsapara Cricket Stadium,2017,T20,112.68,20.0,49.17,6.76,20.0,17.75,240,213,12,19,7,1,2
Barsapara Cricket Stadium,2018,ODI,117.18,64.8,60.49,7.03,64.8,55.3,648,553,10,68,20,1,2
Barsapara Cricket Stadium,2019,T20,103.64,21.17,41.3,6.22,21.17,20.43,741,715,35,69,5,3,6
Barsapara Cricket Stadium,2022,T20,190.83,76.33,67.69,11.45,76.33,40.0,458,240,6,40,25,1,2
Barsapara Cricket Stadium,2023,ODI,113.17,45.27,56.55,6.79,45.27,40.0,679,600,15,78,12,1,2
Barsapara Cricket Stadium,2023,T20,186.25,55.88,68.01,11.18,55.88,30.0,447,240,8,49,18,1,2
Barsapara Cricket Stadium,2025,ODI,75.97,23.11,47.59,4.56,23.11,30.42,1849,2434,80,187,22,5,10
"Basin Reserve, Wellington",2004,Test,49.19,32.32,57.87,2.95,32.32,65.71,1099,2234,34,144,10,1,4
"Basin Reserve, Wellington",2005,ODI,92.87,36.08,48.19,5.57,36.08,38.85,469,505,13,46,7,1,2
"Basin Reserve, Wellington",2005,Test,57.39,37.36,51.18,3.44,37.36,65.1,1868,3255,50,215,16,2,6
"Basin Reserve, Wellington",2006,Test,58.51,26.22,48.62,3.51,26.22,44.82,1049,1793,40,120,5,1,4
"Basin Reserve, Wellington",2008,Test,53.47,25.99,53.43,3.21,25.99,48.59,1793,3353,69,223,11,2,7
"Basin Reserve, Wellington",2009,Test,54.27,28.75,51.39,3.26,28.75,52.97,2156,3973,75,244,22,2,8
"Basin Reserve, Wellington",2010,Test,54.07,45.16,51.73,3.24,45.16,83.52,1129,2088,25,128,12,1,4
"Basin Reserve, Wellington",2011,Test,47.08,35.74,50.52,2.82,35.74,75.91,1251,2657,35,143,10,1,4
"Basin Reserve, Wellington",2012,Test,53.43,40.64,48.86,3.21,40.64,76.07,1138,2130,28,127,8,1,4
"Basin Reserve, Wellington",2013,Test,53.75,32.5,52.66,3.23,32.5,60.46,1690,3144,52,206,11,2,6
"Basin Reserve, Wellington",2014,Test,58.92,47.61,53.12,3.54,47.61,80.81,1476,2505,31,178,12,1,4
"Basin Reserve, Wellington",2015,Test,53.77,37.06,41.94,3.23,37.06,68.91,1297,2412,35,130,4,1,4
"Basin Reserve, Wellington",2016,ODI,85.07,25.79,42.45,5.1,25.79,30.32,490,576,19,37,10,1,2
"Basin Reserve, Wellington",2016,Test,58.23,35.73,56.72,3.49,35.73,61.37,1072,1841,30,134,12,1,3
"Basin Reserve, Wellington",2017,Test,58.21,36.58,53.02,3.49,36.58,62.84,3365,5781,92,404,28,3,11
"Basin Reserve, Wellington",2018,ODI,93.77,33.6,43.45,5.63,33.6,35.83,1008,1075,30,87,15,2,4
"Basin Reserve, Wellington",2018,Test,52.74,49.87,42.72,3.16,49.87,94.57,1147,2175,23,115,5,1,3
"Basin Reserve, Wellington",2019,Test,70.36,32.77,55.16,4.22,32.77,46.58,852,1211,26,104,9,1,3
