venue_name,venue_country,city,format,year,matches_played,matches_with_result,first_bat_wins,second_bat_wins,avg_innings1_runs,avg_innings2_runs,avg_innings3_runs,avg_innings4_runs,first_bat_win_pct,second_bat_win_pct,innings1_avg_wickets,innings1_avg_boundary_pct,innings1_avg_run_rate,innings2_avg_wickets,innings2_avg_boundary_pct,innings2_avg_run_rate,innings3_avg_wickets,innings3_avg_boundary_pct,innings3_avg_run_rate,innings4_avg_wickets,innings4_avg_boundary_pct,innings4_avg_run_rate,highest_individual_score_batter,highest_individual_score_runs,highest_individual_score_date,highest_individual_score_opponent,best_bowling_bowler,best_bowling_wickets,best_bowling_runs_conceded,best_bowling_date,best_bowling_opponent,top_run_scorer,top_run_scorer_total_runs,top_wicket_taker,top_wicket_taker_total_wickets
"7he Sevens Stadium, Dubai",United Arab Emirates,Dubai,T20,2024,1,1,0,1,79.0,83.0,,,0.0,100.0,10.0,0.04,4.12,2.0,0.1,6.22,,,,,,,O Prendergast,32,2024-04-18,Thailand,AN Kelly,4,12,2024-04-18,Thailand,O Prendergast,32,AN Kelly,4
AMI Stadium,New Zealand,Christchurch,ODI,2008,1,1,0,1,242.0,213.0,,,0.0,100.0,7.0,0.08,4.84,6.0,0.13,5.76,,,,,,,BB McCullum,77,2008-02-23,England,KD Mills,4,36,2008-02-23,England,BB McCullum,77,KD Mills,4
AMI Stadium,New Zealand,Christchurch,ODI,2009,1,1,1,0,392.0,334.0,,,100.0,0.0,5.0,0.17,7.84,10.0,0.16,7.4,,,,,,,SR Tendulkar,163,2009-03-08,New Zealand,Harbhajan Singh,2,56,2009-03-08,New Zealand,SR Tendulkar,163,Harbhajan Singh,2
AMI Stadium,New Zealand,Christchurch,ODI,2010,1,1,0,1,241.0,244.0,,,0.0,100.0,9.0,0.08,4.82,7.0,0.11,5.44,,,,,,,Imrul Kayes,101,2010-02-11,New Zealand,Shakib Al Hasan,4,33,2010-02-11,New Zealand,Imrul Kayes,101,Shakib Al Hasan,4
AMI Stadium,New Zealand,Christchurch,ODI,2011,1,1,1,0,293.0,250.0,,,100.0,0.0,7.0,0.11,5.86,9.0,0.06,5.0,,,,,,,Mohammad Hafeez,115,2011-01-29,New Zealand,Umar Gul,2,31,2011-01-29,New Zealand,Mohammad Hafeez,115,HK Bennett,2
AMI Stadium,New Zealand,Christchurch,T20,2009,1,1,0,1,162.0,166.0,,,0.0,100.0,8.0,0.16,8.1,3.0,0.19,8.81,,,,,,,SK Raina,61,2009-02-25,New Zealand,IG Butler,2,29,2009-02-25,India,SK Raina,61,IE O'Brien,2
AMI Stadium,New Zealand,Christchurch,T20,2010,2,1,1,0,198.5,147.0,6.0,9.0,100.0,0.0,6.0,0.25,9.93,7.0,0.17,7.88,1.0,0.0,6.0,0.0,0.33,18.0,BB McCullum,116,2010-02-28,Australia,Shahid Afridi,4,14,2010-12-30,New Zealand,BB McCullum,118,JEC Franklin,4
AMI Stadium,New Zealand,Christchurch,Test,2005,1,1,0,1,433.0,432.0,131.0,135.0,0.0,100.0,10.0,0.07,3.07,10.0,0.09,3.5,10.0,0.07,2.62,1.0,0.12,4.29,HJH Marshall,146,2005-03-10,Australia,GD McGrath,6,115,2005-03-10,New Zealand,HJH Marshall,168,GD McGrath,7
AMI Stadium,New Zealand,Christchurch,Test,2006,1,1,0,1,154.0,206.0,170.0,119.0,0.0,100.0,10.0,0.07,2.92,10.0,0.05,2.4,10.0,0.07,3.2,5.0,0.07,3.61,KC Sangakkara,100,2006-12-07,New Zealand,SE Bond,4,63,2006-12-07,Sri Lanka,KC Sangakkara,104,M Muralitharan,7
"Achimota Senior Secondary School A Field, Accra",Ghana,Accra,T20,2024,16,15,7,8,121.75,93.0,2.0,4.0,46.67,53.33,7.19,0.09,6.14,6.38,0.08,5.43,2.0,0.0,4.0,0.0,0.5,12.0,G Van Heerden,107,2024-03-17,Ghana,N Shangase,5,13,2024-03-08,Tanzania,T Marumani,120,O Muzondo,11
