venue,country,city,lat,lon,names
Adelaide Oval,Australia,Adelaide,-34.9155596,138.5962772,"Adelaide Oval; Adelaide Oval, Adelaide"
Affies Park,Namibia,Windhoek,-22.59206471,17.07013418,Affies Park
Al Amerat Cricket Ground Oman Cricket,Oman,Al Amarat,23.48907356,58.49370255,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1); Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2); Al Amerat Cricket Ground Oman Cricket; Al Amerat Cricket Ground Oman Cricket, Al Amarat"
Allan Border Field,Australia,Brisbane,-27.4351989,153.0462885,"Allan Border Field; Allan Border Field, Brisbane"
AMI Stadium,New Zealand,Christchurch,-43.5437826,172.6040684,"AMI Stadium; AMI Stadium, Christchurch"
Amini Park,Papua New Guinea,Port Moresby,-9.4733843,147.2016264,"Amini Park, Port Moresby; Amini Park"
ACA-VDCA Stadium,India,Visakhapatnam,17.79768311,83.35229751,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium; ACA-VDCA Stadium; Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium; Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
Antigua Recreation Ground,Antigua and Barbuda,Antigua,17.122408,-61.8390534,"Antigua Recreation Ground, St John's; Antigua Recreation Ground; Antigua Recreation Ground, Antigua; Antigua Recreation Ground, St John's, Antigua; Antigua Recreation Ground, St John's, St John's"
Arbab Niaz Stadium,Pakistan,Peshawar,34.0217859,71.578275,Arbab Niaz Stadium
"Arnos Vale Ground, Kingstown",Saint Vincent and the Grenadines,St Vincent,13.1420224,61.21180579,"Arnos Vale Ground, Kingstown; Arnos Vale Ground, Kingstown, St Vincent; Arnos Vale Ground; Arnos Vale Ground, Kingstown, Kingstown; Arnos Vale Ground, St Vincent"
Bangabandhu National Stadium,Bangladesh,Dhaka,23.72798232,90.41312391,"Bangabandhu National Stadium; Bangabandhu National Stadium, Dhaka"
Barabati Stadium,India,Cuttack,20.4807043,85.8685254,"Barabati Stadium; Barabati Stadium, Cuttack"
Barsapara Cricket Stadium,India,Guwahati,26.14548108,91.73648389,"Barsapara Cricket Stadium; Barsapara Cricket Stadium, Guwahati"
"Basin Reserve, Wellington",New Zealand,Wellington,-41.3003599,174.7802545,"Basin Reserve; Basin Reserve, Wellington"
Bay Oval,New Zealand,Mount Maunganui,-37.6528558,176.1907126,"Bay Oval; Bay Oval, Mount Maunganui"
"Beausejour Stadium, Gros Islet",Saint Lucia,St Lucia,14.0692122,-60.9317208,"Beausejour Stadium, Gros Islet; Beausejour Stadium; Beausejour Stadium, St Lucia"
Bellerive Oval,Australia,Hobart,-42.8772952,147.3736444,"Bellerive Oval; Bellerive Oval, Hobart"
Bert Sutcliffe Oval,New Zealand,Lincoln,-43.6466978,172.4627293,Bert Sutcliffe Oval
Ekana Cricket Stadium,India,Lucknow,26.8112572,81.0167842,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium; Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow; Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium; Ekana Cricket Stadium"
Boland Park,South Africa,Paarl,-33.7406522,18.9974819,"Boland Park; Boland Park, Paarl; Boland Bank Park; Boland Bank Park, Paarl"
Brabourne Stadium,India,Mumbai,18.9319276,72.8249626,"Brabourne Stadium; Brabourne Stadium, Mumbai; Brabourne Stadium, Bombay"
Bradman Oval,Australia,Bowral,-34.4821817,150.425052,"Bradman Oval; Bradman Oval, Bowral"
